email_id,subject,sender,body,label,raw_email
phishing_1,Payment Failed - Action Required,billing@verify-account.ml,"Hello,

Your recent payment has failed. Please update your payment information:
http://scam-site.ga/update

Your account will be suspended if not updated within 48 hours.

Thanks,
Billing Department",1,"Content-Type: multipart/mixed; boundary=""===============5304379212968265777==""
MIME-Version: 1.0
Subject: Payment Failed - Action Required
From: billing@verify-account.ml
To: user@example.com
Date: Thu, 31 Jul 2025 09:06:36 
Message-ID: <844606.403192@example.com>

--===============5304379212968265777==
Content-Type: text/plain; charset=""us-ascii""
MIME-Version: 1.0
Content-Transfer-Encoding: 7bit

Hello,

Your recent payment has failed. Please update your payment information:
http://scam-site.ga/update

Your account will be suspended if not updated within 48 hours.

Thanks,
Billing Department
--===============5304379212968265777==--
"
phishing_2,Congratulations! You've Won $1000,winner@verify-account.ml,"Congratulations!

You have been selected to receive $1000! Click here to claim:
http://malicious-site.tk/login

This offer expires in 24 hours.

Lottery Commission",1,"Content-Type: multipart/mixed; boundary=""===============8602012158822588820==""
MIME-Version: 1.0
Subject: Congratulations! You've Won $1000
From: winner@verify-account.ml
To: user@example.com
Date: Tue, 05 Aug 2025 09:06:36 
Message-ID: <657212.978413@example.com>

--===============8602012158822588820==
Content-Type: text/plain; charset=""us-ascii""
MIME-Version: 1.0
Content-Transfer-Encoding: 7bit

Congratulations!

You have been selected to receive $1000! Click here to claim:
http://malicious-site.tk/login

This offer expires in 24 hours.

Lottery Commission
--===============8602012158822588820==--
"
phishing_3,Congratulations! You've Won $1000,winner@secure-bank.tk,"Congratulations!

You have been selected to receive $1000! Click here to claim:
http://malicious-site.tk/login

This offer expires in 24 hours.

Lottery Commission",1,"Content-Type: multipart/mixed; boundary=""===============6425123526766511975==""
MIME-Version: 1.0
Subject: Congratulations! You've Won $1000
From: winner@secure-bank.tk
To: user@example.com
Date: Sun, 27 Jul 2025 09:06:36 
Message-ID: <382802.973984@example.com>

--===============6425123526766511975==
Content-Type: text/plain; charset=""us-ascii""
MIME-Version: 1.0
Content-Transfer-Encoding: 7bit

Congratulations!

You have been selected to receive $1000! Click here to claim:
http://malicious-site.tk/login

This offer expires in 24 hours.

Lottery Commission
--===============6425123526766511975==--
"
phishing_4,Congratulations! You've Won $1000,winner@secure-bank.tk,"Congratulations!

You have been selected to receive $1000! Click here to claim:
http://scam-site.ga/update

This offer expires in 24 hours.

Lottery Commission",1,"Content-Type: multipart/mixed; boundary=""===============7523763285417434421==""
MIME-Version: 1.0
Subject: Congratulations! You've Won $1000
From: winner@secure-bank.tk
To: user@example.com
Date: Thu, 24 Jul 2025 09:06:36 
Message-ID: <242169.593768@example.com>

--===============7523763285417434421==
Content-Type: text/plain; charset=""us-ascii""
MIME-Version: 1.0
Content-Transfer-Encoding: 7bit

Congratulations!

You have been selected to receive $1000! Click here to claim:
http://scam-site.ga/update

This offer expires in 24 hours.

Lottery Commission
--===============7523763285417434421==--
"
phishing_5,Congratulations! You've Won $1000,winner@secure-bank.tk,"Congratulations!

You have been selected to receive $1000! Click here to claim:
http://scam-site.ga/update

This offer expires in 24 hours.

Lottery Commission",1,"Content-Type: multipart/mixed; boundary=""===============5697102137723223676==""
MIME-Version: 1.0
Subject: Congratulations! You've Won $1000
From: winner@secure-bank.tk
To: user@example.com
Date: Sat, 26 Jul 2025 09:06:36 
Message-ID: <560083.331139@example.com>

--===============5697102137723223676==
Content-Type: text/plain; charset=""us-ascii""
MIME-Version: 1.0
Content-Transfer-Encoding: 7bit

Congratulations!

You have been selected to receive $1000! Click here to claim:
http://scam-site.ga/update

This offer expires in 24 hours.

Lottery Commission
--===============5697102137723223676==--
"
phishing_6,Congratulations! You've Won $1000,winner@verify-account.ml,"Congratulations!

You have been selected to receive $1000! Click here to claim:
http://fake-bank.ml/verify

This offer expires in 24 hours.

Lottery Commission",1,"Content-Type: multipart/mixed; boundary=""===============8864756741445797007==""
MIME-Version: 1.0
Subject: Congratulations! You've Won $1000
From: winner@verify-account.ml
To: user@example.com
Date: Sun, 27 Jul 2025 09:06:36 
Message-ID: <884911.560633@example.com>

--===============8864756741445797007==
Content-Type: text/plain; charset=""us-ascii""
MIME-Version: 1.0
Content-Transfer-Encoding: 7bit

Congratulations!

You have been selected to receive $1000! Click here to claim:
http://fake-bank.ml/verify

This offer expires in 24 hours.

Lottery Commission
--===============8864756741445797007==--
"
phishing_7,Congratulations! You've Won $1000,winner@confirm-payment.cf,"Congratulations!

You have been selected to receive $1000! Click here to claim:
http://malicious-site.tk/login

This offer expires in 24 hours.

Lottery Commission",1,"Content-Type: multipart/mixed; boundary=""===============6114989697298599941==""
MIME-Version: 1.0
Subject: Congratulations! You've Won $1000
From: winner@confirm-payment.cf
To: user@example.com
Date: Sat, 09 Aug 2025 09:06:36 
Message-ID: <110673.378583@example.com>

--===============6114989697298599941==
Content-Type: text/plain; charset=""us-ascii""
MIME-Version: 1.0
Content-Transfer-Encoding: 7bit

Congratulations!

You have been selected to receive $1000! Click here to claim:
http://malicious-site.tk/login

This offer expires in 24 hours.

Lottery Commission
--===============6114989697298599941==--
"
phishing_8,Congratulations! You've Won $1000,winner@secure-bank.tk,"Congratulations!

You have been selected to receive $1000! Click here to claim:
http://malicious-site.tk/login

This offer expires in 24 hours.

Lottery Commission",1,"Content-Type: multipart/mixed; boundary=""===============5102345926385496649==""
MIME-Version: 1.0
Subject: Congratulations! You've Won $1000
From: winner@secure-bank.tk
To: user@example.com
Date: Sun, 10 Aug 2025 09:06:36 
Message-ID: <576813.595869@example.com>

--===============5102345926385496649==
Content-Type: text/plain; charset=""us-ascii""
MIME-Version: 1.0
Content-Transfer-Encoding: 7bit

Congratulations!

You have been selected to receive $1000! Click here to claim:
http://malicious-site.tk/login

This offer expires in 24 hours.

Lottery Commission
--===============5102345926385496649==--
"
phishing_9,Congratulations! You've Won $1000,winner@verify-account.ml,"Congratulations!

You have been selected to receive $1000! Click here to claim:
http://malicious-site.tk/login

This offer expires in 24 hours.

Lottery Commission",1,"Content-Type: multipart/mixed; boundary=""===============2331173775214108367==""
MIME-Version: 1.0
Subject: Congratulations! You've Won $1000
From: winner@verify-account.ml
To: user@example.com
Date: Sat, 02 Aug 2025 09:06:36 
Message-ID: <670019.603009@example.com>

--===============2331173775214108367==
Content-Type: text/plain; charset=""us-ascii""
MIME-Version: 1.0
Content-Transfer-Encoding: 7bit

Congratulations!

You have been selected to receive $1000! Click here to claim:
http://malicious-site.tk/login

This offer expires in 24 hours.

Lottery Commission
--===============2331173775214108367==--
"
phishing_10,Urgent: Your Account Will Be Suspended,security@update-info.ga,"Dear Customer,
                
Your account security has been compromised. Click here immediately to verify your account:
http://fake-bank.ml/verify

Failure to verify within 24 hours will result in permanent account suspension.

Best regards,
Security Team",1,"Content-Type: multipart/mixed; boundary=""===============4028478147072692374==""
MIME-Version: 1.0
Subject: Urgent: Your Account Will Be Suspended
From: security@update-info.ga
To: user@example.com
Date: Tue, 29 Jul 2025 09:06:36 
Message-ID: <849631.452021@example.com>

--===============4028478147072692374==
Content-Type: text/plain; charset=""us-ascii""
MIME-Version: 1.0
Content-Transfer-Encoding: 7bit

Dear Customer,
                
Your account security has been compromised. Click here immediately to verify your account:
http://fake-bank.ml/verify

Failure to verify within 24 hours will result in permanent account suspension.

Best regards,
Security Team
--===============4028478147072692374==--
"
